                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 0.6231,                0.07111,                0.03935,                0.33987,                0.92276,                0.99906,                      1,                  0.995,                0.85534,                0.99906,                      1,                  0.995,                  0.995,                0.66232,                0.02838,                0.00319,                0.31643,                 1.0084,              0.0013664,              0.0013664,              0.0013664
                     67,                0.62083,                 0.0761,                0.04706,                0.34432,                0.93906,                0.99914,                      1,                  0.995,                0.86489,                0.99914,                      1,                  0.995,                  0.995,                0.64515,                0.04015,                0.00347,                0.30318,                 1.0023,              0.0013565,              0.0013565,              0.0013565
                     68,                0.61878,                  0.077,                 0.0383,                0.34357,                0.94122,                0.99841,                      1,                  0.995,                0.84908,                0.99841,                      1,                  0.995,                  0.995,                0.68558,                0.03135,                0.00396,                0.31315,                 1.0153,              0.0013466,              0.0013466,              0.0013466
                     69,                0.61589,                0.07293,                0.02767,                0.34418,                0.93452,                0.99913,                      1,                  0.995,                0.82669,                0.99913,                      1,                  0.995,                  0.995,                0.76679,                0.03858,                0.00252,                 0.3316,                 1.0619,              0.0013367,              0.0013367,              0.0013367
                     70,                0.63257,                 0.0738,                0.03598,                0.34174,                0.93928,                0.99915,                      1,                  0.995,                0.83784,                0.99915,                      1,                  0.995,                  0.995,                0.70419,                0.03274,                0.00273,                0.32733,                 1.0478,              0.0013268,              0.0013268,              0.0013268
                     71,                0.60105,                0.07087,                0.03586,                0.32812,                0.92343,                0.99877,                      1,                  0.995,                0.85824,                0.99877,                      1,                  0.995,                  0.995,                0.65796,                0.03761,                0.00323,                0.29957,                 1.0131,              0.0013169,              0.0013169,              0.0013169
                     72,                0.60129,                0.06266,                0.02566,                0.32673,                0.92669,                0.99812,                      1,                  0.995,                0.86485,                0.99812,                      1,                  0.995,                0.99444,                0.63341,                0.04051,                0.00258,                0.31269,                 1.0035,               0.001307,               0.001307,               0.001307
                     73,                0.60592,                0.07414,                0.03663,                0.33089,                 0.9212,                0.99606,                      1,                  0.995,                0.84367,                0.99606,                      1,                  0.995,                  0.995,                 0.6611,                0.04193,                0.00228,                0.32629,                 1.0212,              0.0012971,              0.0012971,              0.0012971
                     74,                0.60009,                 0.0586,                0.03375,                0.32081,                0.91656,                0.99904,                      1,                  0.995,                0.85423,                0.99904,                      1,                  0.995,                0.99461,                0.66511,                0.04022,                0.00243,                0.29515,                  1.018,              0.0012872,              0.0012872,              0.0012872
                     75,                0.60735,                0.06349,                0.03309,                0.33133,                0.92237,                0.99916,                      1,                  0.995,                0.87123,                0.99916,                      1,                  0.995,                  0.995,                0.62151,                0.03221,                0.00244,                0.31908,                0.98091,              0.0012773,              0.0012773,              0.0012773
